geneID	A1AbRi	A5AbRi	A9AbRi	A2CRi	A6CRi	A10CRi	A3AbTo	A7AbTo	A11AbTo	A4CTo	A8CTo	A12CTo
Novel01205	1.271982389	1.752285106	2.549104631	3.045682668	1.004896498	1.874030539	1.117001987	2.373131513	1.177294177	2.095004779	1.302204232	0.957201245
ENSRNOG00000000303	3.244052502	5.084149925	5.14569148	2.655978043	4.322467625	4.819831052	5.915495062	4.742562716	4.170369414	5.343081439	6.014384712	4.335929271
ENSRNOG00000043714	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013945	3.200069108	3.047796995	2.922229026	4.233937543	2.606159839	2.905252984	3.369598977	3.144109909	3.734040597	4.294594796	3.790660763	3.884734183
ENSRNOG00000039680	0.108099292	0.283127609	0.061270616	0	0.313137091	0.16157247	0.083062261	0.117646863	0.082395949	0.148369804	0.086074871	0.158175984
ENSRNOG00000045969	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000016670	13.31707246	11.37080911	10.9886424	10.84319431	12.42923083	10.64664217	12.35854679	14.20677126	11.50401494	12.70116547	14.45078561	12.23550129
ENSRNOG00000048521	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023051	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000017975	4.341564391	4.43033074	2.689298699	4.977290017	4.262925013	2.085812373	2.954750375	2.581886507	2.505573158	3.217826914	2.419902238	2.749847
ENSRNOG00000048594	0	0	0	0	0	0	1.193020178	0	0	1.278617996	0	0
ENSRNOG00000008178	22.61508874	9.707357875	13.31801222	18.91576477	6.146718157	14.42013299	20.76492805	21.84641975	17.47499612	20.54616668	20.23771248	13.06961064
ENSRNOG00000011859	7.712720674	12.63895686	17.48626254	4.455055042	12.66436814	20.75031161	29.98044214	25.55209643	30.31629939	24.90814278	24.20399302	22.17291766
ENSRNOG00000050722	0.496525105	0.86135075	0.402043062	0.31223596	0.597739739	0.636119834	0.853887539	0.771970446	0.576706581	0.915152982	0.866030692	0.539714656
ENSRNOG00000016598	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011841	99.41990778	72.99827878	119.3799216	31.73240369	74.99542465	115.1529724	229.6274536	238.9107692	248.5084745	227.088094	241.5074621	247.7425973
ENSRNOG00000020503	0.04424837	0.031607141	0.150479702	0.089896942	0.06991454	0.039681953	0.033999942	0.10835209	0.269817598	0.218636389	0.211398576	0.116543343
ENSRNOG00000003929	10.01959399	7.481347935	7.475258436	3.022698143	8.632914794	6.88994617	20.35827503	17.63298169	21.91204877	20.25452737	19.0619527	23.86617548
ENSRNOG00000049000	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047098	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001750	2.626462588	1.586307543	1.379749861	2.320959351	0.978440307	1.53197564	6.776369197	5.525150789	4.21549796	6.0843772	5.559905305	4.986739595
ENSRNOG00000008521	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019122	6.479749839	4.947529854	8.630607199	3.265936359	4.092190053	8.462941528	17.98679975	17.49514614	13.77330028	17.26706322	20.51967805	14.32240062
ENSRNOG00000005678	10.26763924	9.700492842	7.715228275	9.476043976	8.743368816	8.195026094	10.51288081	9.126762576	8.938755583	11.30897552	10.29792674	10.16215614
ENSRNOG00000017288	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047709	3.493408776	0.499076758	0.594018625	0.709736355	1.103950581	1.253156074	3.221154481	1.140586333	0.532552484	0.575378098	0.556330586	0
